Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988-89,NBA,DEN,44,38,3,,29.8,06-May,197,,82,19880,3813,8140,0.468,228,676,0.337,3585,7464,0.48,1821,2314,0.787,1206,2513,3719,2282,811,436,1225,2088,9675
1987-88,NBA,DEN,54,28,1,,28.7,06-May,198,,82,19780,3770,7961,0.474,192,562,0.342,3578,7399,0.484,1841,2289,0.804,1163,2442,3605,2300,832,401,1186,1982,9573
1986-87,NBA,DEN,37,45,4,,28.2,06-Jun,196,,82,19780,3744,7951,0.471,106,391,0.271,3638,7560,0.481,1975,2568,0.769,1294,2368,3662,2317,754,421,1216,2184,9569
1985-86,NBA,DEN,47,35,2,,28.1,06-Jun,197,,82,19755,3705,7868,0.471,71,305,0.233,3634,7563,0.48,1929,2416,0.798,1223,2317,3540,2140,826,421,1336,2164,9410
1984-85,NBA,DEN,52,30,1,,28.3,06-Jun,199,,82,19830,3876,7976,0.486,73,235,0.311,3803,7741,0.491,2016,2568,0.785,1331,2303,3634,2266,894,424,1382,2152,9841
1983-84,NBA,DEN,38,44,3,,27,06-Jun,204,,82,19805,3935,7983,0.493,77,255,0.302,3858,7728,0.499,2200,2690,0.818,1133,2444,3577,2482,711,352,1344,2279,10147
1982-83,NBA,DEN,45,37,2,,27.2,06-Jun,202,,82,19730,3951,7999,0.494,24,126,0.19,3927,7873,0.499,2179,2696,0.808,1214,2524,3738,2336,789,352,1496,2091,10105
1981-82,NBA,DEN,46,36,2,,27,06-May,201,,82,19830,3980,7656,0.52,40,149,0.268,3940,7507,0.525,2371,2978,0.796,1149,2443,3592,2272,664,368,1470,2131,10371
1980-81,NBA,DEN,37,45,4,,26.8,06-May,204,,82,19955,3784,7960,0.475,30,145,0.207,3754,7815,0.48,2388,3051,0.783,1325,2497,3822,2030,720,380,1444,2108,9986
1979-80,NBA,DEN,30,52,3,,27.1,06-Jun,203,,82,19830,3462,7470,0.463,83,255,0.325,3379,7215,0.468,1871,2539,0.737,1311,2524,3835,2079,746,404,1533,1917,8878
1978-79,NBA,DEN,47,35,2,,26.2,06-Jun,205,,82,19705,3517,7311,0.481,,,,3517,7311,0.481,2046,2841,0.72,1307,2596,3903,2166,673,416,1666,2106,9080
1977-78,NBA,DEN,48,34,1,,25.2,06-Jun,201,,82,19830,3548,7441,0.477,,,,3548,7441,0.477,2068,2705,0.765,1177,2736,3913,2187,824,422,1748,2116,9164
1976-77,NBA,DEN,50,32,1,,27.3,06-May,203,,82,19780,3590,7471,0.481,,,,3590,7471,0.481,2053,2783,0.738,1288,2700,3988,2262,953,471,2011,2142,9233
1975-76,ABA,DNA,60,24,1,,25.4,06-May,203,,84,20310,4059,8036,0.505,41,178,0.23,4018,7858,0.511,2078,2667,0.779,1311,2776,4087,2442,891,539,1755,1988,10237
1974-75,ABA,DNA,65,19,1,,25.2,06-Jun,199,,84,20335,3953,7764,0.509,22,102,0.216,3931,7662,0.513,2041,2546,0.802,1285,2531,3816,2450,975,501,1821,2065,9969
1973-74,ABA,DNR,37,47,5,,25.5,06-Jun,207,,84,20285,3553,8042,0.442,107,325,0.329,3446,7717,0.447,1776,2271,0.782,1455,2697,4152,2004,595,408,1477,2079,8989
1972-73,ABA,DNR,47,37,3,,24.8,06-Jun,207,,84,20045,3433,7501,0.458,74,301,0.246,3359,7200,0.467,2253,2994,0.753,1457,2668,4125,1936,,,1596,2237,9193
1971-72,ABA,DNR,34,50,4,,25.6,06-May,199,,84,20310,3703,8247,0.449,41,178,0.23,3662,8069,0.454,1953,2601,0.751,1626,2855,4481,1995,,,1450,2334,9400
1970-71,ABA,DNR,30,54,5,,25,06-Jun,203,,84,20435,3852,8780,0.439,103,400,0.258,3749,8380,0.447,2158,2841,0.76,1759,3090,4849,1642,,,1658,1996,9965
1969-70,ABA,DNR,51,33,1,,24.6,06-May,204,,84,20360,3743,8381,0.447,188,684,0.275,3555,7697,0.462,2023,2713,0.746,1621,3224,4845,1621,,,1404,2064,9697
1968-69,ABA,DNR,44,34,3,,25.6,06-May,203,,78,18895,3427,7554,0.454,79,314,0.252,3348,7240,0.462,2026,2769,0.732,1376,2741,4117,1239,,,1331,2102,8959
1967-68,ABA,DNR,45,33,3,,24.3,06-May,204,,78,18820,3119,7271,0.429,25,149,0.168,3094,7122,0.434,1981,2725,0.727,,,4121,1044,,,1293,1992,8244
